A# .NET,/wiki/A_Sharp_(.NET),N,http://www.asharp.martincarlisle.com/,http://adagide.martincarlisle.com/adagidelogo.gif,N
Hop,/wiki/Hop_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Hop_logo.svg/150px-Hop_logo.svg.png,http://hop.inria.fr/home/index.html,N,N
Hopscotch,/wiki/Hopscotch_(programming_language),N,N,N,N
Hope,/wiki/Hope_(programming_language),N,N,N,N
Hugo,/wiki/Hugo_(programming_language),N,N,N,N
Hume,/wiki/Hume_(language),N,N,N,N
HyperTalk,/wiki/HyperTalk,N,N,N,N
IBM Basic assembly language,/wiki/IBM_Basic_assembly_language,N,N,N,N
IBM HAScript,/wiki/IBM_HAScript,N,N,N,N
IBM Informix-4GL,/wiki/IBM_Informix-4GL,N,N,N,N
IBM RPG,/wiki/IBM_RPG,N,N,N,N
ICI,/wiki/ICI_(programming_language),N,N,N,N
Icon,/wiki/Icon_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/cf/Icon_logo.png,https://www2.cs.arizona.edu/icon/,N,N
Id,/wiki/Id_(programming_language),N,N,N,N
IDL,/wiki/IDL_(programming_language),N,http://harrisgeospatial.com/ProductsandTechnology/Software/IDL.aspx,N,N
Idris,/wiki/Idris_(programming_language),N,https://www.idris-lang.org/,http://idris-lang.org/logo/logo-small.png,N
IMP,/wiki/IMP_(programming_language),N,N,N,N
Inform,/wiki/Inform,https://upload.wikimedia.org/wikipedia/en/4/4c/Inform_7_IDE_Icon.png,http://inform7.com/,N,N
INTERLISP,/wiki/Interlisp,N,N,N,N
Io,/wiki/Io_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Io-logo.svg/64px-Io-logo.svg.png,N,N,N
Ioke,/wiki/Ioke_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ioke.svg/220px-Ioke.svg.png,https://ioke.org/,N,N
IPL,/wiki/Information_Processing_Language,N,N,N,N
IPTSCRAE,/wiki/IPTSCRAE,N,N,N,N
ISLISP,/wiki/ISLISP,N,N,N,N
ISPF,/wiki/ISPF,N,N,N,N
ISWIM,/wiki/ISWIM,N,N,N,N
J,/wiki/J_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/6/65/J_%28programming_language%29_icon.png/64px-J_%28programming_language%29_icon.png,http://www.jsoftware.com/,N,N
J#,/wiki/J_Sharp,N,,N,N
J++,/wiki/Visual_J%2B%2B,N,N,N,N
JADE,/wiki/JADE_(programming_language),N,N,N,N
JAL,/wiki/JAL_(compiler),N,N,N,N
Janus (concurrent constraint programming language),/wiki/Janus_(concurrent_constraint_programming_language),N,N,N,N
Janus (time-reversible computing programming language),/wiki/Janus_(time-reversible_computing_programming_language),N,http://tetsuo.jp/ref/janus.html,N,N
JASS,/wiki/JASS,N,N,N,N
Java,/wiki/Java_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Java_programming_language_logo.svg/141px-Java_programming_language_logo.svg.png,https://www.oracle.com/java/index.html,//www.oracle.com/assets/ci08t1-logo-v2com-2347762.png,N
JavaScript,/wiki/JavaScript,N,https://developer.mozilla.org/en-US/docs/Web/JavaScript,N,N
JCL,/wiki/Job_Control_Language,N,N,N,N
JEAN,/wiki/JEAN,N,N,N,N
Join Java,/wiki/Join_Java,N,http://joinjava.unisa.edu.au/,N,N
JOSS,/wiki/JOSS,N,N,N,N
Joule,/wiki/Joule_(programming_language),N,N,N,N
JOVIAL,/wiki/JOVIAL,N,N,N,N
Joy,/wiki/Joy_(programming_language),N,N,N,N
JScript,/wiki/JScript,https://upload.wikimedia.org/wikipedia/en/e/e8/Jscript_icon.gif,https://msdn.microsoft.com/library/hbxc2t98.aspx,https://i-msdn.sec.s-msft.com/Areas/Centers/Themes/StandardDevCenter/Content/HeaderFooterSprite.png?v=636366940370715916,N
JScript .NET,/wiki/JScript_.NET,N,N,N,N
JavaFX Script,/wiki/JavaFX_Script,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/JavaFX_Logo.png/200px-JavaFX_Logo.png,http://www.oracle.com/technetwork/java/javase/overview/index.html,N,N
Julia,/wiki/Julia_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Julia_prog_language.svg/220px-Julia_prog_language.svg.png,https://julialang.org/,N,N
Jython,/wiki/Jython,https://upload.wikimedia.org/wikipedia/en/e/ea/Jython.png,http://www.jython.org/,css/jython.png,N
K,/wiki/K_(programming_language),N,N,N,N
Kaleidoscope,/wiki/Kaleidoscope_(programming_language),N,N,N,N
Karel,/wiki/Karel_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/NikiExample.jpg/220px-NikiExample.jpg,N,N,N
Karel++,/wiki/Karel%2B%2B,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/NikiExample.jpg/220px-NikiExample.jpg,N,N,N
KEE,/wiki/IntelliCorp_(Software),N,N,N,N
Kixtart,/wiki/KiXtart,N,http://www.kixtart.org/,images/logo_kixtart_script.gif,N
Klerer-May System,/wiki/Klerer-May_System,N,N,N,N
KIF,/wiki/Knowledge_Interchange_Format,N,N,N,N
Kojo,/wiki/Kojo_(programming_language),https://upload.wikimedia.org/wikipedia/en/f/fe/Kojo_Logo_with_overlapping_pentagons.png,http://www.kogics.net/kojo,N,N
Kotlin,/wiki/Kotlin_(programming_language),https://upload.wikimedia.org/wikipedia/commons/b/b5/Kotlin-logo.png,https://kotlinlang.org/,N,N
KRC,/wiki/Kent_Recursive_Calculator,N,N,N,N
KRL,/wiki/KRL_(programming_language),N,N,N,N
KUKA,/wiki/KUKA,N,N,N,N
KRYPTON,/wiki/KRYPTON,N,N,N,N
ksh,/wiki/Korn_shell,N,http://www.kornshell.org/,N,N
Kodu,/wiki/Kodu_Game_Lab,N,https://www.kodugamelab.com/,/images/socl_logo.png,N
L,/wiki/L_(programming_language),N,N,N,N
LabVIEW,/wiki/LabVIEW,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/LabVIEW_Logo.jpg/300px-LabVIEW_Logo.jpg,http://www.ni.com/en-us/shop/labview.html,N,N
Ladder,/wiki/Ladder_logic,N,N,N,N
Lagoona,/wiki/Lagoona_(programming_language),N,N,N,N
LANSA,/wiki/LANSA_(development_environment),N,N,N,N
Lasso,/wiki/Lasso_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/LassoSoft_and_Lasso_Logo.png/220px-LassoSoft_and_Lasso_Logo.png,http://www.lassosoft.com/,/skins/lassosoft/images/main_logo.png,N
LaTeX,/wiki/LaTeX,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/LaTeX_logo.svg/100px-LaTeX_logo.svg.png,https://www.latex-project.org//,/img/latex-project-logo.svg,N
Lava,/wiki/Lava_(programming_language),N,N,N,N
LC-3,/wiki/LC-3,N,N,N,N
Leda,/wiki/Leda_(programming_language),N,N,N,N
Legoscript,/wiki/Lego_Mindstorms,N,N,N,N
LIL,/wiki/Little_Implementation_Language,N,N,N,N
LilyPond,/wiki/LilyPond,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/LilyPond-logo-with-music.png/107px-LilyPond-logo-with-music.png,http://lilypond.org/,pictures/double-lily-modified3.png,N
Limbo,/wiki/Limbo_(programming_language),N,http://www.vitanuova.com/inferno/limbo.html,N,N
Limnor,/wiki/Limnor,N,N,N,N
LINC,/wiki/LINC_4GL,N,N,N,N
Lingo,/wiki/Lingo_(programming_language),N,N,N,N
LIS,/wiki/LIS_(programming_language),N,N,N,N
LISA,/wiki/Language_for_Instruction_Set_Architecture,N,https://www.ice.rwth-aachen.de/research/tools-projects/lisa/lisa,N,N
Lisaac,/wiki/Lisaac,https://upload.wikimedia.org/wikipedia/en/7/7c/Lisaac_logo.png,N,N,N
Lisp,/wiki/Lisp_(programming_language),N,N,N,N
Lite-C,/wiki/Lite-C,N,http://www.3dgamestudio.de/litec.php,N,N
Lithe,/wiki/Lithe_(programming_language),N,N,N,N
Little b,/wiki/Little_b_(programming_language),N,http://www.littleb.org/,N,N
Logo,/wiki/Logo_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Remi_turtlegrafik.png/300px-Remi_turtlegrafik.png,N,N,N
Logtalk,/wiki/Logtalk,N,http://logtalk.org/,N,N
LotusScript,/wiki/LotusScript,N,N,N,N
LPC,/wiki/LPC_(programming_language),N,http://lpmuds.net/,smflogo.gif,N
LSE,/wiki/LSE_(programming_language),N,N,N,N
LSL,/wiki/Linden_Scripting_Language,N,https://wiki.secondlife.com/wiki/LSL_Portal,N,N
LiveCode,/wiki/LiveCode,N,https://livecode.org/,https://livecode.org/wp-content/uploads/2016/04/lccom.png,N
LiveScript,/wiki/LiveScript,N,http://livescript.net/,N,N
Lua,/wiki/Lua_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Lua-logo-nolabel.svg/128px-Lua-logo-nolabel.svg.png,https://www.lua.org/,N,N
Lucid,/wiki/Lucid_(programming_language),N,N,N,N
Lustre,/wiki/Lustre_(programming_language),N,N,N,N
LYaPAS,/wiki/LYaPAS,N,N,N,N
Lynx,/wiki/Lynx_(programming_language),N,N,N,N
M2001,/wiki/M2001,N,N,N,N
M4,/wiki/M4_(computer_language),N,N,N,N
M#,/wiki/M_Sharp_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/ca/Msharp_logo.png,http://www.msharp.co.uk/Home.html,N,N
Machine code,/wiki/Machine_code,N,N,N,N
MAD,/wiki/MAD_(programming_language),N,N,N,N
MAD/I,/wiki/MAD_(programming_language),N,N,N,N
Magik,/wiki/Magik_(programming_language),N,N,N,N
Magma,/wiki/Magma_computer_algebra_system,https://upload.wikimedia.org/wikipedia/commons/e/ee/Magma-logo.png,http://magma.maths.usyd.edu.au/magma/,N,N
make,/wiki/Make_(software),N,http://pubs.opengroup.org/onlinepubs/9699919799/utilities/make.html,N,N
Maude system,/wiki/Maude_system,N,N,N,N
Maple,/wiki/Maple_(software),https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Maple_2016_Core_Screenshots.jpg/300px-Maple_2016_Core_Screenshots.jpg,http://www.maplesoft.com/products/maple/,/images2015/Maple_logo_sm.png,N
MAPPER,/wiki/MAPPER,N,N,N,N
MARK-IV,/wiki/MARK_IV_(software),N,N,N,N
Mary,/wiki/Mary_(programming_language),N,N,N,N
MASM Microsoft Assembly x86,/wiki/Microsoft_Macro_Assembler,N,https://msdn.microsoft.com/en-us/library/afzk3475.aspx,https://i-msdn.sec.s-msft.com/Areas/Centers/Themes/StandardDevCenter/Content/HeaderFooterSprite.png?v=636366940370715916,N
MATH-MATIC,/wiki/MATH-MATIC,N,N,N,N
Mathematica,/wiki/Mathematica,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Mathematica_Logo.svg/61px-Mathematica_Logo.svg.png,http://www.wolfram.com/mathematica/,/common/images/gl-logo-spikey.en.png,N
MATLAB,/wiki/MATLAB,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Matlab_Logo.png/100px-Matlab_Logo.png,https://www.mathworks.com/products/matlab.html,/etc/designs/mathworks/img/pic-header-mathworks-logo.svg,N
Maxima,/wiki/Maxima_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Maxima-new.svg/64px-Maxima-new.svg.png,http://maxima.sourceforge.net/,./i/logo.png,N
Macsyma,/wiki/Macsyma,N,N,N,N
Max,/wiki/Max_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Max6.PNG/180px-Max6.PNG,https://cycling74.com/products/max/,https://cycling74.com/images/c74-icon-fff.svg,N
MaxScript,/wiki/Autodesk_3ds_Max,N,https://www.autodesk.com/products/3ds-max/overview,https://static-dc.autodesk.net/etc/designs/v201412151200/autodesk/adsk-design/images/autodesk_header_logo_140x23.png,N
Maya (MEL),/wiki/Maya_Embedded_Language,N,N,N,N
MDL,/wiki/MDL_(programming_language),N,N,N,N
Mercury,/wiki/Mercury_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Mercury_%28programming_language%29_logo.jpg/220px-Mercury_%28programming_language%29_logo.jpg,http://www.mercurylang.org/,./images/mercurylogo.png,N
Mesa,/wiki/Mesa_(programming_language),N,N,N,N
Metafont,/wiki/Metafont,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/METAFONT_logo.svg/220px-METAFONT_logo.svg.png,https://ctan.org/,N,N
Microcode,/wiki/Microassembler,N,N,N,N
MicroScript,/wiki/MicroScript_(programming_language),N,N,N,N
MIIS,/wiki/MIIS_(programming_language),N,N,N,N
Milk (programming language),/wiki/Milk_(programming_language),N,N,N,N
MIMIC,/wiki/MIMIC,N,N,N,N
Mirah,/wiki/Mirah_(programming_language),N,http://www.mirah.org/,https://raw.githubusercontent.com/mirah/resources/master/logo/mirah-logotype-small.png,N
Miranda,/wiki/Miranda_(programming_language),https://upload.wikimedia.org/wikipedia/en/3/34/Miranda_logo_%28programming_language%29.jpg,http://miranda.org.uk/,N,N
MIVA Script,/wiki/MIVA_Script,N,http://www.mivascript.com/,images_site/MivaScript.png,N
ML,/wiki/ML_(programming_language),N,N,N,N
Model 204,/wiki/Model_204,N,N,N,N
Modelica,/wiki/Modelica,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Modelica.png/300px-Modelica.png,https://www.modelica.org/,https://www.modelica.org/logo.jpg,N
Modula,/wiki/Modula,N,N,N,N
Modula-2,/wiki/Modula-2,N,N,N,N
Modula-3,/wiki/Modula-3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/M3Logo.gif/100px-M3Logo.gif,http://www.modula3.org/,images/m3pow.gif,N
Mohol,/wiki/Mohol_programming_languages,N,N,N,N
MOO,/wiki/MOO_(programming_language),N,N,N,N
Mortran,/wiki/Mortran,N,N,N,N
Mouse,/wiki/Mouse_(programming_language),N,N,N,N
MPD,/wiki/MPD_(programming_language),N,N,N,N
Mathcad,/wiki/Mathcad,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Ptc_mathcad_logo_standard_color.png/414px-Ptc_mathcad_logo_standard_color.png,https://www.ptc.com/engineering-math-software/mathcad,N,N
CIL,/wiki/Common_Intermediate_Language,N,N,N,N
MSL,/wiki/MIRC_scripting_language,N,http://www.mirc.com/,/images/barlogo.gif,N
MUMPS,/wiki/MUMPS,N,N,N,N
MuPAD,/wiki/MuPAD,https://upload.wikimedia.org/wikipedia/en/f/f2/MuPADCube.png,https://www.mathworks.com/discovery/mupad.html,/etc/designs/mathworks/img/pic-header-mathworks-logo.svg,N
Mystic Programming Language,/wiki/Mystic_BBS,N,http://www.mysticbbs.com/,pixels/logo_gj.png,N
NASM,/wiki/Netwide_Assembler,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Netwide_Assembler.svg/176px-Netwide_Assembler.svg.png,http://www.nasm.us/,N,N
Napier88,/wiki/Napier88,N,N,N,N
Neko,/wiki/Neko_(programming_language),https://upload.wikimedia.org/wikipedia/en/3/32/NekoLogo.png,http://nekovm.org/,/img/nekovm-logo.png,N
Nemerle,/wiki/Nemerle,N,http://nemerle.org/About,/Static/Images/menuitem-about-active-foreground.png,N
nesC,/wiki/NesC,N,N,N,N
NESL,/wiki/NESL,N,N,N,N
Net.Data,/wiki/Net.Data,N,https://www-03.ibm.com/systems/power/software/i/netdata/index.html,N,N
NetLogo,/wiki/NetLogo,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Netlogo.png/452px-Netlogo.png,http://ccl.northwestern.edu/netlogo/,/netlogo/images/netlogo-title-wide-60.jpg,N
NetRexx,/wiki/NetRexx,https://upload.wikimedia.org/wikipedia/commons/c/c4/NETREXX.gif,N,N,N
NewLISP,/wiki/NewLISP,https://upload.wikimedia.org/wikipedia/en/e/e7/Nl_logo_libel_side_color_240X100.png,http://www.newlisp.org/,N,N
NEWP,/wiki/NEWP,N,N,N,N
Newspeak,/wiki/Newspeak_(programming_language),N,http://newspeaklanguage.org/,N,N
NewtonScript,/wiki/NewtonScript,N,N,N,N
NGL,/wiki/NGL_(programming_language),N,N,N,N
Nial,/wiki/Nial,N,N,N,N
Nice,/wiki/Nice_(programming_language),N,N,N,N
Nickle,/wiki/Nickle_(programming_language),N,http://www.nickle.org/,sflogo.png,N
NITIN,/wiki/Nickle_(programming_language),N,http://www.nickle.org/,sflogo.png,N
Nim,/wiki/Nim_(programming_language),N,https://nim-lang.org/,/assets/img/logo.svg,N
Node.js,/w/index.php?title=Node.js_(programming_language)&action=edit&redlink=1,N,N,N,N
NPL,/wiki/NORD_Programming_Language,N,N,N,N
Not eXactly C,/wiki/Not_eXactly_C,N,N,N,N
Not Quite C,/wiki/Not_Quite_C,N,N,N,N
NSIS,/wiki/Nullsoft_Scriptable_Install_System,https://upload.wikimedia.org/wikipedia/commons/0/04/Nullsoft_Scriptable_Install_System_icon.png,,N,N
Nu,/wiki/Nu_(programming_language),N,http://programming.nu/index,N,N
NWScript,/wiki/NWScript,N,,N,N
NXT-G,/wiki/NXT-G,N,N,N,N
o:XML,/wiki/O:XML,N,N,N,N
Oak,/wiki/Oak_(programming_language),N,N,N,N
Oberon,/wiki/Oberon_(programming_language),https://upload.wikimedia.org/wikipedia/commons/2/21/OberonLogo.png,,N,N
OBJ2,/wiki/OBJ2,N,N,N,N
Object Lisp,/wiki/Object_Lisp,N,N,N,N
ObjectLOGO,/wiki/ObjectLOGO,N,N,N,N
Object REXX,/wiki/Object_REXX,https://upload.wikimedia.org/wikipedia/commons/1/18/Rexx3_orig_size_transparent.gif,http://www.oorexx.org/,http://sflogo.sourceforge.net/sflogo.php?group_id=119701&type=2,N
Object Pascal,/wiki/Object_Pascal,N,N,N,N
Objective-C,/wiki/Objective-C,N,https://developer.apple.com/library/content/documentation/Cocoa/Conceptual/ProgrammingWithObjectiveC/Introduction/Introduction.html,N,N
Objective-J,/wiki/Objective-J,N,http://www.cappuccino-project.org/,/img/cappuccino-website-logo-333bd6a0.png,N
Obliq,/wiki/Obliq,N,N,N,N
OCaml,/wiki/OCaml,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/OCaml_Logo.svg/200px-OCaml_Logo.svg.png,http://ocaml.org/,/img/colour-logo-white.svg,N
occam,/wiki/Occam_(programming_language),N,N,N,N
occam-π,/wiki/Occam-%CF%80,N,N,N,N
Octave,/wiki/GNU_Octave,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Gnu-octave-logo.svg/100px-Gnu-octave-logo.svg.png,https://www.gnu.org/software/octave/,/software/octave/img/octave-logo.svg,N
OmniMark,/wiki/OmniMark,N,N,N,N
Onyx,/wiki/Onyx_(programming_language),N,N,N,N
Opa,/wiki/Opa_(programming_language),https://upload.wikimedia.org/wikipedia/en/6/64/Opa_logo_cloud.png,http://opalang.org/,/assets/img/logo-opa-gray.png,N
Opal,/wiki/Opal_(programming_language),N,N,N,N
OpenCL,/wiki/OpenCL,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/OpenCL_Logo.svg/200px-OpenCL_Logo.svg.png,https://www.khronos.org/opencl/,/assets/css/images/khronos-logo.svg,N
OpenEdge ABL,/wiki/OpenEdge_Advanced_Business_Language,N,https://www.progress.com/,https://d117h1jjiq768j.cloudfront.net/images/default-source/home/p-logos.png?sfvrsn=62f198fc_4,N
OPL,/wiki/Open_Programming_Language,N,http://opl-dev.sourceforge.net/,http://sourceforge.net/sflogo.php?group_id=76695&type=1,N
OpenVera,/wiki/OpenVera,N,N,N,N
OPS5,/wiki/OPS5,N,N,N,N
OptimJ,/wiki/OptimJ,N,http://www.ateji.com/,N,N
Orc,/wiki/Orc_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5e/Orc_programming_language_logo.png,https://orc.csres.utexas.edu/,N,N
ORCA/Modula-2,/wiki/ORCA/Modula-2,N,N,N,N
Oriel,/wiki/Oriel_(scripting_language),https://upload.wikimedia.org/wikipedia/en/9/97/The_Oriel_for_Windows_Logo.png,N,N,N
Orwell,/wiki/Orwell_(programming_language),N,N,N,N
Oxygene,/wiki/Oxygene_(programming_language),https://upload.wikimedia.org/wikipedia/en/9/9e/Chrome-128.png,http://elementscompiler.com/elements/,/images/site-logos/new4-yellow-50.png,N
Oz,/wiki/Oz_(programming_language),N,http://mozart.github.io/,/img/mozart-logos/logo_new.png,N
P′′,/wiki/P%E2%80%B2%E2%80%B2,N,N,N,N
P#,/wiki/P_Sharp,N,N,N,N
ParaSail (programming language),/wiki/ParaSail_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/c1/Logo_for_ParaSail_Programming_Language.jpg,https://forge.open-do.org/plugins/moinmoin/parasail/,/plugins/moinmoin/parasail/FrontPage?action=AttachFile&do=get&target=logo_parasail.png,N
PARI/GP,/wiki/PARI/GP,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/PARI-GP_logo.svg/116px-PARI-GP_logo.svg.png,http://pari.math.u-bordeaux.fr/,/site_icons/Logo_PARI-GP_Couleurs_L150px.png,N
Pascal,/wiki/Pascal_(programming_language),N,N,N,N
PCASTL,/wiki/PCASTL,N,http://www.pcosmos.ca/pcastl/,N,N
PCF,/wiki/Programming_language_for_Computable_Functions,N,N,N,N
PEARL,/wiki/PEARL_(programming_language),N,N,N,N
PeopleCode,/wiki/PeopleCode,N,N,N,N
Perl,/wiki/Perl,https://upload.wikimedia.org/wikipedia/en/e/e0/Programming-republic-of-perl.png,https://www.perl.org/,//st.pimg.net/perlweb/images/logo.v2cb0e36.svg,N
PDL,/wiki/Perl_Data_Language,N,http://pdl.perl.org/,http://sflogo.sourceforge.net/sflogo.php?group_id=612&type=16,N
Perl 6,/wiki/Perl_6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Camelia.svg/250px-Camelia.svg.png,https://perl6.org/,camelia-logo.png,N
Pharo,/wiki/Pharo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Pharo_Logo_v3.0.svg/200px-Pharo_Logo_v3.0.svg.png,https://pharo.org/,/web/files/pharo-logo-small.png,N
PHP,/wiki/PHP,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/PHP-logo.svg/200px-PHP-logo.svg.png,https://secure.php.net/,/images/logos/php-logo.svg,N
Pico,/wiki/Pico_(programming_language),N,http://pico.vub.ac.be/,N,N
Picolisp,/wiki/Picolisp,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/PicoLisp_Icon_Xlarge.png/64px-PicoLisp_Icon_Xlarge.png,https://picolisp.com/wiki/?home,wiki/img/small-logo.png,N
Pict,/wiki/Pict_(programming_language),N,N,N,N
Pike,/wiki/Pike_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Pike_Programming_Language_Logo.svg/220px-Pike_Programming_Language_Logo.svg.png,https://pike.lysator.liu.se/,/assets/img/pike-logo.svg,N
PIKT,/wiki/PIKT,N,http://pikt.org/,http://pikt.org/pikt/images/PIKTlogo160x100.gif,N
PILOT,/wiki/PILOT,N,N,N,N
Pipelines,/wiki/Hartmann_pipeline,https://upload.wikimedia.org/wikipedia/en/0/0c/Pipjarg1.jpeg,http://vm.marist.edu/~pipeline/,http://kedit.com/image/keditlogo.gif,N
Pizza,/wiki/Pizza_(programming_language),N,http://pizzacompiler.sourceforge.net/,http://sourceforge.net/sflogo.php?group_id=31504,N
PL-11,/wiki/PL-11,N,N,N,N
PL/0,/wiki/PL/0,N,N,N,N
PL/B,/wiki/Programming_Language_for_Business,N,N,N,N
PL/C,/wiki/PL/C,N,N,N,N
PL/I,/wiki/PL/I,N,http://bitsavers.trailing-edge.com/pdf/ibm/360/pli/,N,N
PL/M,/wiki/PL/M,N,N,N,N
PL/P,/wiki/PL/P,N,N,N,N
PL/SQL,/wiki/PL/SQL,N,N,N,N
PL360,/wiki/PL360,N,N,N,N
PLANC,/wiki/PLANC,N,N,N,N
Plankalkül,/wiki/Plankalk%C3%BCl,N,N,N,N
Planner,/wiki/Planner_(programming_language),N,N,N,N
PLEX,/wiki/PLEX_(programming_language),N,N,N,N
PLEXIL,/wiki/PLEXIL,N,http://plexil.sourceforge.net/wiki/index.php/Main_Page,N,N
Plus,/wiki/Plus_(programming_language),N,N,N,N
POP-11,/wiki/POP-11,N,N,N,N
POP-2,/wiki/POP-2,N,N,N,N
PostScript,/wiki/PostScript,N,N,N,N
PortablE,/wiki/Amiga_E#PortablE,N,N,N,N
Powerhouse,/wiki/Powerhouse_(programming_language),N,N,N,N
PowerBuilder,/wiki/PowerBuilder,N,https://www.appeon.com/,https://www.appeon.com/sites/default/files//logo_1.png,N
PowerShell,/wiki/PowerShell,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/PowerShell_5.0_icon.png/64px-PowerShell_5.0_icon.png,https://msdn.microsoft.com/en-us/powershell,https://i-msdn.sec.s-msft.com/dynimg/IC815818.png,N
PPL,/wiki/Polymorphic_Programming_Language,N,N,N,N
Processing,/wiki/Processing_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Processing_3_logo.png/180px-Processing_3_logo.png,https://processing.org/,N,N
Processing.js,/wiki/Processing.js,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Processing_Logo_Clipped.svg/180px-Processing_Logo_Clipped.svg.png,http://processingjs.org/,/images/header.png,N
Prograph,/wiki/Prograph,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Prograph_cpx_logo.PNG/150px-Prograph_cpx_logo.PNG,N,N,N
PROIV,/wiki/PROIV,N,N,N,N
Prolog,/wiki/Prolog,N,N,N,N
PROMAL,/wiki/PROMAL,https://upload.wikimedia.org/wikipedia/en/2/2d/PROMAL_logo.png,N,N,N
Promela,/wiki/Promela,N,N,N,N
PROSE modeling language,/wiki/PROSE_modeling_language,N,N,N,N
PROTEL,/wiki/Protel,N,N,N,N
ProvideX,/wiki/ProvideX,N,http://www.pvxplus.com/,N,N
Pro*C,/wiki/Pro*C,N,N,N,N
Pure,/wiki/Pure_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5a/Pure_lang_logo.png,https://purelang.bitbucket.io/,https://purelang.bitbucket.io/images/waterdrop.png,N
PureScript,/w/index.php?title=PureScript&action=edit&redlink=1,N,N,N,N
Pure Data,/wiki/Pure_Data,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Pure_Data_with_many_patches_open_%28showing_netpd_project%29.png/300px-Pure_Data_with_many_patches_open_%28showing_netpd_project%29.png,http://puredata.info/,downloads/pure-data/logo,N
Python,/wiki/Python_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Python_logo_and_wordmark.svg/260px-Python_logo_and_wordmark.svg.png,https://www.python.org/,/static/img/python-logo.png,N
Q (equational programming language),/wiki/Q_(equational_programming_language),https://upload.wikimedia.org/wikipedia/en/5/5a/Pure_lang_logo.png,https://purelang.bitbucket.io/,https://purelang.bitbucket.io/images/waterdrop.png,N
Q (programming language from Kx Systems),/wiki/Q_(programming_language_from_Kx_Systems),N,N,N,N
Qalb,/wiki/Qalb_(programming_language),N,,N,N
QtScript,/wiki/QtScript,N,N,N,N
QuakeC,/wiki/QuakeC,N,N,N,N
QPL,/wiki/Quantum_programming,N,N,N,N
R,/wiki/R_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/R_logo.svg/220px-R_logo.svg.png,https://www.r-project.org/,/Rlogo.png,N
R++,/wiki/R%2B%2B,N,N,N,N
Racket,/wiki/Racket_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Racket_logo.png/66px-Racket_logo.png,http://racket-lang.org/,img/racket-logo.svg,N
RAPID,/wiki/RAPID,N,N,N,N
Rapira,/wiki/Rapira,N,N,N,N
Ratfiv,/wiki/Ratfiv,N,N,N,N
